rank,score,verdict,author,followers_raw,author_followers,rel_amp,likes,retweets,engagement,reach_median,tweet
39,85,Viral potential,rihanna,59000000,144,0.796,2527,1284,5095.0,1000,“@sta_schemin: WHY is a new Love and Hip Hop on?! My Wednesdays won't set up to catch it !!! 😫😫😫” yassssss thank you VH1
40,83,Viral potential,Cristiano,52000000,142,0.393,886,449,1784.0,1000,@Donejack94Gamil I’m good how are you?
41,83,Viral potential,taylorswift13,83000000,147,0.22,3444,1722,6888.0,1000,@BaileeMadison LOVE YOU!
42,82,Viral potential,TheEllenShow,65000000,145,3.677,15475,2944,21363.0,1000,Have you seen #FindingDory yet? Did you see the secret ending? Oops. Never mind. Ignore this tweet.
43,82,Viral potential,katyperry,95000000,149,0.204,1886,519,2924.0,1000,@perryicecream always in October
44,81,Viral potential,jimmyfallon,42000000,140,1.468,2522,377,3276.0,1000,"“@AnnaKendrick47: Tonight!!! I play egg roulette. Will I have""Egg on my face????"" Find out at 11:30 on NBC!! 😮🐣” oh you "
45,81,Viral potential,rihanna,59000000,144,0.344,632,784,2200.0,1000,“@JakeMiosge: @rihanna Nice first show sis!” #1Love always bro! Thank you
46,81,Viral potential,selenagomez,45000000,141,0.259,694,2019,4732.0,1000,"Just got off stage after my first Canadian show.  It feels good to be back!! Vancouver, you ready?"
47,80,Viral potential,ddlovato,41000000,140,1.247,16237,12179,40595.0,1000,@joejonas... Ya know... I've never heard you DJ before........
48,80,Viral potential,ArianaGrande,42000000,140,1.015,20028,10338,40704.0,1000,cmon girls !!!!! 👻 how was your Halloween everyone? https://t.co/w5Y5jkRkIX
49,80,Viral potential,Cristiano,52000000,142,0.203,335,293,921.0,1000,@TeamBreezy89 Work hard every day and never give up!
50,80,Viral potential,jtimberlake,41000000,140,0.167,175,139,453.0,1000,"""@BustyCops: @jtimberlake How ARE your grammar skills?"" They be great! Thanks! Your twitter name is outstanding, btw."
51,79,Viral potential,justinbieber,91000000,148,2.775,130581,131476,393533.0,1000,Thanks for always making me smile
52,79,Viral potential,britneyspears,36000000,138,2.498,2341,3597,9535.0,1000,ARE. YOU. READY? #WorkBxxchVideoTomorrow
53,79,Viral potential,selenagomez,45000000,141,1.349,6334,9137,24608.0,1000,Thanks @grahnort and everyone @TheGNShow for having me on your show!!! Had such a good time with everyone.
54,79,Viral potential,katyperry,95000000,149,1.243,6576,5622,17820.0,1000,Japan! I will be back in MARCH! Why? 1. Cause you're my FAVORITE &amp; 2. To headline U-EXPRESS LIVE 2014!!! YAYAY!
55,79,Viral potential,jtimberlake,41000000,140,0.48,597,352,1301.0,1000,“@ILNY83: @jtimberlake Your album comes out soon!! Know how I'm celebrating? Buying it at Target. lol” Let us raise a to
56,79,Viral potential,ladygaga,64000000,145,0.416,2222,1276,4774.0,1000,@ModnarQueen I will ALWAYS be seashell girl!
57,79,Viral potential,katyperry,95000000,149,0.221,1993,590,3173.0,1000,"@Jes00sica everything's a lie, watch zeitgeist."
58,79,Viral potential,britneyspears,36000000,138,0.08,72,117,306.0,1000,@HannahSpearsFan OMG love your picture!! My baby!
59,78,Viral potential,selenagomez,45000000,141,4.269,42103,17878,77859.0,1000,"Sooo I'm performing on @nbcsnl on 1.23!! What is life?? 
I couldn't be more excited. GUYS.. SNL!!"
60,78,Viral potential,selenagomez,45000000,141,3.45,30183,16369,62921.0,1000,"Guys, I'm up. Jet lag. How are you?! Love you all. ❤️💙"
61,78,Viral potential,justinbieber,91000000,148,2.01,147268,68874,285016.0,1000,Thanks to everyone who supported me at #TeenChoice tonight. Love to everyone involved
62,78,Viral potential,britneyspears,36000000,138,1.963,2087,2703,7493.0,1000,GOOD MORNING AMERICA! Holy moly it's early. But today is the day! Are u ready tweeps?!
63,78,Viral potential,ddlovato,41000000,140,0.375,5453,3387,12227.0,1000,@mari_clopes my biff?? DUHHHH!!! Best friend I've ever had
64,78,Viral potential,britneyspears,36000000,138,0.296,521,305,1131.0,1000,@ElenitaSPEARS Omg how adorable are YOU? Thanks for stopping by the store!
65,78,Viral potential,taylorswift13,83000000,147,0.139,914,1715,4344.0,1000,@jaysean thanks!!! Hope you're doing great!
66,77,Viral potential,britneyspears,36000000,138,0.328,322,466,1254.0,1000,I LOVE IT!!! :) xxoo RT @sendicadash @britneyspears what do you think of my profile pic?! You like it? ;) #IWannaScreamA
67,77,Viral potential,britneyspears,36000000,138,0.208,261,267,795.0,1000,@caylenbliss take my hand... ;) #YouBettaWorkB
68,77,Viral potential,Twitter,55000000,143,0.171,110,35,180.0,1000,@Littleandfit_ How much do you love polls?
69,76,Viral potential,taylorswift13,83000000,147,2.931,55405,18191,91787.0,1000,OMG Jack you just turned 31 on the 31st! And 31 is basically just 13 backwards. And 13 is my lucky number! See how I mad
70,76,Viral potential,rihanna,59000000,144,1.489,4496,2512,9520.0,986,Thank you!!!!!
71,76,Viral potential,ArianaGrande,42000000,140,1.475,28287,15453,59193.0,1000,DARE I CHANGE MY HEADER????? (it's been 84 years) (you already know)
72,76,Viral potential,jtimberlake,41000000,140,1.37,1097,1306,3709.0,994,This is gonna be a GREAT Super Bowl! 49ers/Ravens?? Can't wait! i'm booking my flight to New Orleans right now!
73,76,Viral potential,katyperry,95000000,149,1.094,6969,4352,15673.0,1000,ARE YOU READY TO LET THE LIGHT IN?! 30 MINUTES AND COUNTING!
74,76,Viral potential,katyperry,95000000,149,0.685,2584,3623,9830.0,1000,I leave for a few hours and this happens?! 👊 “@skywaterr: @katyperry #1 IN 60 COUNTRIES. I REPEAT 60 COUNTRIES.”
75,76,Viral potential,YouTube,60000000,144,0.015,10,5,20.0,1000,@hootsuite @sabinaDeelight We agree! And @YTCreators is always a good resource.
76,75,Viral potential,ArianaGrande,42000000,140,4.418,93655,41785,177225.0,954,hi.. love you
77,75,Viral potential,justinbieber,91000000,148,2.14,138062,82706,303474.0,1000,Praying for everyone today. #love
78,75,Viral potential,ArianaGrande,42000000,140,2.014,39214,20799,80812.0,1000,love you love you love you lil valentines
79,75,Viral potential,britneyspears,36000000,138,1.466,1701,1947,5595.0,1000,What does everyone think of #OohLaLa? I'm pretty sure it's my boys new favorite song :)
80,75,Viral potential,selenagomez,45000000,141,0.514,1622,3883,9388.0,1000,Congrats to everyone at WIzards we won our second Emmy!!!!
81,75,Viral potential,Cristiano,52000000,142,0.361,156,742,1640.0,1000,@farishulhan always! Hi to Indonesia friends that are always with us
82,75,Viral potential,YouTube,60000000,144,0.221,152,75,302.0,1000,@billboard @shakira A billion views don't lie ... this video is still AMAZING! Congratulations!
83,75,Viral potential,britneyspears,36000000,138,0.166,183,226,635.0,1000,@ujk3000 can I be your second tweet too?
84,74,Has legs,Twitter,55000000,143,2.98,1612,757,3126.0,946,Happy #FirstDayOfSummer! Which emojis describe your summer plans?
85,74,Has legs,KimKardashian,48000000,142,1.738,10343,1432,13207.0,1000,HAPPY EASTER EVERYONE! https://t.co/mPKfW12erX
86,74,Has legs,ArianaGrande,42000000,140,1.165,24191,11269,46729.0,997,thank you thank you lovely Sacramento!! you were wonderful tonight. love you!
87,74,Has legs,rihanna,59000000,144,1.003,1008,2702,6412.0,1000,"How could you be so hood, but you so fucking Pop?! #UNAPOLOGETIC"
88,74,Has legs,katyperry,95000000,149,0.391,1113,2245,5603.0,968,Giggles! RT @sofifii: Never a plastic bag always a FIREWORK “@hellogiggles: Happy Birthday @katyperry you are a FIREWORK
89,74,Has legs,taylorswift13,83000000,147,0.343,1423,4669,10761.0,1000,"Wait, what?! The 'Mean' video got nominated for a VMA!! BEYOND excited. If you feel like voting......  MTV.com :) :) :)"
90,74,Has legs,katyperry,95000000,149,0.339,1266,1799,4864.0,1000,"Not new single, just apart of a PRISM PREVIEW! RT“@MattehPee: @katyperry @iTunesMusic New single? Woohoo! #DarkHorse #pr"
91,74,Has legs,selenagomez,45000000,141,0.242,622,1897,4416.0,980,Happy thanksgiving everyone. I can't even describe how thankful I am for y'all! Love you
92,74,Has legs,jimmyfallon,42000000,140,0.236,254,136,526.0,1000,“@Local4News: RT @4LiveInTheD HUGE THANK YOU for stopping by #LiveintheD!” I had a blast. Thank you!! #lovintheD
93,73,Has legs,selenagomez,45000000,141,0.963,2037,7765,17567.0,938,Happy birthday @taylorswift13 !!!!!!!! I love you so much!!
94,73,Has legs,britneyspears,36000000,138,0.416,1016,286,1588.0,1000,@AdamOnCapital Love! Thank you!! 😘😘
95,73,Has legs,Twitter,55000000,143,0.415,271,82,435.0,977,.@AZCardinals @49ers Just under an hour until #TNF  is streaming LIVE on Twitter! Who are you rooting for?
96,73,Has legs,katyperry,95000000,149,0.389,1728,1924,5576.0,922,"Specifically, obviously! “@katyslildancer: @katyperry you do love Mexico right? You say Mexico in a Prism song 💕😍”"
97,72,Has legs,rihanna,59000000,144,3.237,8279,6212,20703.0,873,"Whaaaat is this?!  Okay Italy, I'm up! Ima need y'all to wake up!"
98,72,Has legs,ArianaGrande,42000000,140,3.051,61625,30381,122387.0,998,I love you
99,72,Has legs,katyperry,95000000,149,2.261,14299,9054,32407.0,1000,HAPPY BIRTHDAY 🍤
100,72,Has legs,katyperry,95000000,149,0.359,1135,2004,5143.0,1000,YAAAAAAY! RT @shannonwoodward: MARTHA PLIMPTON JUST WON AN EMMY AND IM SO GLAD THAT I CAN'T STOP YELLING
101,72,Has legs,katyperry,95000000,149,0.303,1427,1458,4343.0,962,I love all my babies but this one is SHINING!!! “@gottabesheerio: @katyperry do you like this album more than the others
102,72,Has legs,jtimberlake,41000000,140,0.28,240,259,758.0,865,"""@JSwaff19: @jtimberlake Can I get a RT for still rockin' the #Justified CD?"" #Retweetified"
103,72,Has legs,YouTube,60000000,144,0.026,31,2,35.0,995,@kayla_dishner YES. Did you like what you found inside? #FOTLD
104,71,Has legs,britneyspears,36000000,138,3.634,7942,2965,13872.0,957,Hey! ✌️ Miss you people!!! What's up?
105,71,Has legs,KimKardashian,48000000,142,2.573,16835,1363,19561.0,924,Who's watching my mom on the E! red carpet?!?! She's doing amazing and looks 🔥🔥🔥go @KrisJenner #ProudDaughter
106,71,Has legs,britneyspears,36000000,138,1.84,1875,2574,7023.0,963,And yes I will perform #WORKBxxch at the show!! Which reminds me... BEN MOR!!! How is that video coming along??? ;)
107,71,Has legs,ArianaGrande,42000000,140,1.784,35337,18122,71581.0,879,love
108,71,Has legs,taylorswift13,83000000,147,0.79,5841,9464,24769.0,952,"This thing where I go and get donuts every night at midnight is just a phase right? PS, I'm FINE."
109,71,Has legs,britneyspears,36000000,138,0.253,616,175,966.0,957,@LD702 Yay!! Thank you thank you thank you :)
110,71,Has legs,YouTube,60000000,144,0.059,69,6,81.0,1000,@m0E_tv Congrats Moe! Where are you going to hang up that shimmering silver?
111,71,Has legs,Cristiano,52000000,142,0.054,48,98,244.0,864,Thank you! Happy you are happy! @gogoantrax #CRPenaltyGame buenisima aplicacion @Cristiano !!! i love it :)
112,71,Has legs,YouTube,60000000,144,0.05,50,9,68.0,1000,@ZailuGaming You've never seen PewDiePie like this before ... super duper pooper scared!
113,70,Has legs,TheEllenShow,65000000,145,4.897,19333,4558,28449.0,1000,"New York, I love you."
114,70,Has legs,KimKardashian,48000000,142,3.249,12730,5982,24694.0,975,Why did Georgio Armani discontinue my favorite foundation??? I'm on my last bottle &amp; everyone I know uses this!!! Pl
115,70,Has legs,britneyspears,36000000,138,1.884,3265,1963,7191.0,863,Vegas I'm on my way! Where all my Britneys at?! 👯 Ready to make this the best holiday ever! #HappyBritneyDay
116,70,Has legs,ddlovato,41000000,140,1.837,23764,18011,59786.0,869,How is it possible that emojis can make me SO HUNGRY?! 😭🍔🍕🍟🍪🍦🍩🍫🍗🍝
117,70,Has legs,jtimberlake,41000000,140,1.769,2948,921,4790.0,935,HAS. TO. STOP. Devastating. https://t.co/C9Q0YePRMr
118,70,Has legs,britneyspears,36000000,138,0.697,951,856,2663.0,907,Next Up: #NowThatIFoundYou! This song just sounds like love doesn't it? :) LOVE the music on this track! #BritneyJeanLis
119,70,Has legs,ladygaga,64000000,145,0.285,2037,616,3269.0,925,@LabOfHookers I love this!!
120,70,Has legs,selenagomez,45000000,141,0.044,79,363,805.0,973,@GustavoCruz1 happy birthday baby!! Love!!! Xoxoxoxoxo
121,70,Has legs,YouTube,60000000,144,0.028,28,5,38.0,1000,@KurtHSchneider A creator’s work is never done!
122,69,Has legs,ladygaga,64000000,145,5.24,37398,11367,60132.0,939,I JUST HEARD PERFECT ILLUSION FOR THE FIRST TIME ON RADIO IN NY!!! 😄😄😄❤️❤️❤️
123,69,Has legs,KimKardashian,48000000,142,5.03,12557,12838,38233.0,968,WAIT new poll. Which album title do you like best? @kanyewest
124,69,Has legs,rihanna,59000000,144,3.428,8207,6858,21923.0,922,@BrunoMars ....... THANK YOU my brother! Thank you!!! #SuperBowlHalfTime
125,69,Has legs,rihanna,59000000,144,1.676,1720,4499,10718.0,976,I'm so phucking happy right now! Who else is listening to it at this very moment? GOOD shit! #UNAPOLOGETIC
126,69,Has legs,ArianaGrande,42000000,140,1.258,25235,12611,50457.0,851,@NICKIMINAJ I'm actually........ counting down the days til I see you..... 🚲
127,69,Has legs,KimKardashian,48000000,142,1.027,6172,815,7802.0,963,Let's Live Tweet tomorrow during Keeping Up With The Kardashians! Who's gonna watch with me on E!?
128,69,Has legs,KimKardashian,48000000,142,0.954,5814,723,7260.0,877,How was everyone's weekend? I saw The Revenant &amp; The Danish Girl. They both are so good!!!!!
129,69,Has legs,britneyspears,36000000,138,0.844,854,1185,3224.0,905,"@iamwill 1 Billion times, huh? You betta WORK Will ;) P.S. - I'm not paying those speeding tickets LOL"
130,69,Has legs,taylorswift13,83000000,147,0.811,7981,8722,25425.0,927,Newark. You are amazing. See you tomorrow? And the next night? Excellent.
131,69,Has legs,selenagomez,45000000,141,0.164,295,1351,2997.0,895,":D wow, 1 year already!! RT @SGomezBestLover: @SelenaGomez #1YearNaturally WILL BE TRENDING !! I SWEAR !!"
132,69,Has legs,jtimberlake,41000000,140,0.019,19,16,51.0,933,".@mizzbren WOW, Bren... HAHA! I just laughed out loud. ""Yeah, can I get $20 on no. 7, a six pack, and these tracks...?"""
133,68,Has legs,ArianaGrande,42000000,140,1.929,35436,20970,77376.0,916,30m beautiful baby loves. i love you.
134,68,Has legs,britneyspears,36000000,138,1.219,1462,1596,4654.0,981,Anyone else been playing with the new #iTunesRadio today? LOVE. New bff for the gym. #WORK
135,68,Has legs,TheEllenShow,65000000,145,0.985,4664,530,5724.0,844,HBD @MarthaStewart! I wanna bake ya a cake. Any tips? Let's bake together! Or you bake&amp; I help. I’ll watch. You bake
136,68,Has legs,selenagomez,45000000,141,0.866,2453,6674,15801.0,936,YAY!!! 4 million followers!! Thank you soooooo much! LOVE YOU GUYS!!
137,68,Has legs,jimmyfallon,42000000,140,0.812,1435,189,1813.0,867,.@RyanSeacrest haaa. That's actually one of my better ones!! Missed you this year.
138,68,Has legs,rihanna,59000000,144,0.769,1256,1832,4920.0,974,Happy birthday grandfadda!!! Love you!
139,68,Has legs,ladygaga,64000000,145,0.688,5269,1314,7897.0,824,This is amazing! 👅👅👅@lucanapp98
140,68,Has legs,rihanna,59000000,144,0.681,691,1834,4359.0,887,What now? #UNAPOLOGETIC
141,68,Has legs,ddlovato,41000000,140,0.67,8426,6716,21858.0,853,@AvrilLavigne love you girl... Thank you for the support!!! 😘😘😘
142,68,Has legs,TheEllenShow,65000000,145,0.577,2222,568,3358.0,938,What does a Greek person shout when they’re watching OWN? OPRAH! #ClassicJokeFriday
143,68,Has legs,britneyspears,36000000,138,0.439,655,511,1677.0,914,Sooner than you think! RT @britneyspeans My favorite! when are we getting the video? #BritneyJeanListeningParty
144,68,Has legs,KimKardashian,48000000,142,0.438,2780,277,3334.0,865,What else do you guys want to see on my app?
145,68,Has legs,britneyspears,36000000,138,0.28,605,233,1071.0,925,@mokkalicious You are AMAZING!! Thank you so much for your generous donation! ❤❤
146,68,Has legs,jimmyfallon,42000000,140,0.198,345,48,441.0,917,“@x3samanthamarie: @jimmyfallon are we talking just game 1 or the whole series?” Whole series.
147,68,Has legs,YouTube,60000000,144,0.15,185,10,205.0,995,@ColleenB123 We love YOU so much! ❤️
148,68,Has legs,jimmyfallon,42000000,140,0.149,228,52,332.0,951,@common thank you. just... wow.
149,68,Has legs,jtimberlake,41000000,140,0.096,125,68,261.0,873,.@GaryJones85 Was I able to save you more on car insurance?
150,68,Has legs,YouTube,60000000,144,0.016,14,4,22.0,893,@seniampai Nice! Did you have a favorite fear? #ScarePewdsRemix
151,67,Has legs,ArianaGrande,42000000,140,3.316,64077,34480,133037.0,955,&amp; i love you
152,67,Has legs,shakira,42000000,140,1.944,1399,1639,4677.0,821,Today is the day! Are you ready? #CantRememberToForgetYou @Rihanna ShakHQ
153,67,Has legs,ArianaGrande,42000000,140,1.809,33752,19419,72590.0,832,I love youuu
154,67,Has legs,KimKardashian,48000000,142,0.927,4345,1353,7051.0,927,Are you guys ready for a brand new season of #KUTWK ? Season premiere tonight on E!
155,67,Has legs,jimmyfallon,42000000,140,0.923,1521,269,2059.0,840,Thank you FalPals and everyone who voted. #PeopIesChoice
156,67,Has legs,ddlovato,41000000,140,0.741,11941,6119,24179.0,907,Um.. This is incredible.. @BillyGilman you LITERALLY were my childhood!!! 😱🙏🏼🙌🏼
157,67,Has legs,katyperry,95000000,149,0.629,2611,3203,9017.0,930,You kiss your mother with that mouth?! “@shinekatheryn: @katyperry i want new musics now u little shit”
158,67,Has legs,YouTube,60000000,144,0.629,703,78,859.0,820,"@Jenna_Marbles Never thought you'd be getting a double hug in a spacesuit for #YouTubeRewind, did you?"
159,67,Has legs,TheEllenShow,65000000,145,0.561,2557,353,3263.0,884,"Happy birthday, @EricStonestreet! I got ya something special. It's RIGHT BEHIND YOU! I'm just kiddin'. I'm Ellen."
160,67,Has legs,britneyspears,36000000,138,0.391,326,584,1494.0,915,"Today's the day, followed! ;) RT @tylerkeating_ BRITNEY I'VE WAITED SO LONG #ScreamAndShoutToday ... Will it be the day "
161,67,Has legs,ArianaGrande,42000000,140,0.327,8272,2429,13130.0,901,@grandemakeup love you
162,67,Has legs,jtimberlake,41000000,140,0.321,386,242,870.0,929,“@GiaNaaman: @jtimberlake you're enjoying this aren't you? #TakeBackTheNight” NOOOO!! #yes
163,67,Has legs,jimmyfallon,42000000,140,0.207,338,62,462.0,877,@StephenCurry30 where's that selfie? You got it?
164,67,Has legs,britneyspears,36000000,138,0.119,155,149,453.0,962,@strikeap0se happy happy birthday!
165,67,Has legs,britneyspears,36000000,138,0.087,93,121,335.0,921,@tomasworld18 love you too sweetie!
166,67,Has legs,Cristiano,52000000,142,0.071,62,131,324.0,855,I have always wanted to be a football player. @Diana11_ @Cristiano what do you wanted to be when you were a little kid?
167,67,Has legs,jtimberlake,41000000,140,0.061,40,63,166.0,881,When r u going? RT @brooklyngirl89 I absolutely loved @FWB! I can't wait to see it again!!
168,67,Has legs,KimKardashian,48000000,142,0.046,273,37,347.0,966,@KrazyForKardash love this!
169,66,Has legs,jimmyfallon,42000000,140,9.855,11952,5017,21986.0,886,"@camilacabello97 you killed it tonight!! Thank you. Love, Jeeeeeemy"
170,66,Has legs,britneyspears,36000000,138,2.184,2356,2991,8338.0,865,You learn something every day! Never knew @S_C_ was a fan of Toxic! That's Big Pimpin ;)
171,66,Has legs,ArianaGrande,42000000,140,2.085,36769,23439,83647.0,867,"love you, my babies ✨"
172,66,Has legs,KimKardashian,48000000,142,1.567,9215,1346,11907.0,791,Just saw a screening of the movie JOY. It's super inspiring!!!! Was REALLY good! You guys should really go see it.
173,66,Has legs,katyperry,95000000,149,1.493,10948,5224,21396.0,871,Eagerly looking forward to the first big musical contribution of 2015 that just knocks me off my feet... Who's gonna tak
174,66,Has legs,jtimberlake,41000000,140,0.738,1394,304,2002.0,905,“@Bj_boogie8: Guess who is going to see @jtimberlake Friday night?!?... THIS GIRL” 🎉🎉🎉🏆
175,66,Has legs,ddlovato,41000000,140,0.642,6817,7064,20945.0,838,@lightmrb i love Brazil!!
176,66,Has legs,ddlovato,41000000,140,0.293,4219,2667,9553.0,908,@LogoTV thank YOU!!!! I'm just doing what people should ALREADY be doing.. Standing up for love..❤️💛💚💚💙
177,66,Has legs,ddlovato,41000000,140,0.203,3156,1730,6616.0,948,@EBUNC1 thank you!!!
178,66,Has legs,jimmyfallon,42000000,140,0.173,305,41,387.0,779,“@DaneFrazier: @jimmyfallon One question for ya. Are you bringing Audience Suggestions Box to TSJF?” Yes. So far.
179,66,Has legs,KimKardashian,48000000,142,0.155,833,172,1177.0,931,@MolestMeKardash enjoy them!!!!! How comfy are they?!?! xoxoxo
180,66,Has legs,shakira,42000000,140,0.112,117,77,271.0,850,@shivamgms I see you!!! Shak
181,66,Has legs,YouTube,60000000,144,0.025,30,2,34.0,916,@LamarrWilson Enjoy your break! We'll see you ... in the fall?! 🍂 🍂 🍂
182,65,Has legs,justinbieber,91000000,148,1.365,106363,43586,193535.0,921,Iceland I love you. Thank you
183,65,Has legs,ddlovato,41000000,140,1.332,20315,11519,43353.0,885,"Dear @instagram, why can't you mute people yet?!"
184,65,Has legs,katyperry,95000000,149,1.329,6075,6485,19045.0,831,WOW! We all really showed some 💪 this past week! #ROAR became my biggest debut ever on ITUNES! For that I say THANK U! U
185,65,Has legs,ddlovato,41000000,140,1.292,19512,11269,42050.0,881,I'm in Stockholm..... Now where's @ToveLo?!!?! 😭😭😭
186,65,Has legs,katyperry,95000000,149,1.145,11060,2674,16408.0,901,"Finally, last debate is OCT 19. FIGURE OUT A WAY TO COVER MORE ISSUES. #debate"
187,65,Has legs,ArianaGrande,42000000,140,0.988,20276,9711,39698.0,765,WE SOUND LIKE A STUDIO AUDIENCE....???? Aaron's ice cream review up on snapchat now. I've never… https://t.co/mekJYofOOe
188,65,Has legs,TheEllenShow,65000000,145,0.411,2077,157,2391.0,817,My @QVC show is live in ten minutes! Holiday shopping has never been this fun.
189,65,Has legs,Cristiano,52000000,142,0.381,617,556,1729.0,805,"@ErikaRonaldo_7 I'm good, how are you?"
190,65,Has legs,ArianaGrande,42000000,140,0.366,8295,3196,14687.0,744,@arigrandeftmota wow i love this so much
191,65,Has legs,jimmyfallon,42000000,140,0.352,611,87,785.0,915,“@falpal2332: @jimmyfallon What's your favorite flavor of icecream?” Got something in the works.
192,65,Has legs,Cristiano,52000000,142,0.124,269,146,561.0,862,@Ercanmodric I’m pretty good. How are you doing?
193,65,Has legs,YouTube,60000000,144,0.022,28,1,30.0,819,"@yolanda_gampp 🎶 Do you want to build a snowman? 🎶 If it’s this one, then YES."
194,65,Has legs,YouTube,60000000,144,0.02,15,6,27.0,823,"@phanible_lester Truly, the pumpkin man never left."
