author,followers_raw,author_followers,score,verdict,reach_median,likes,retweets,engagement,rel_amp,tweet
TheEllenShow,65000000,145,7,Likely to fizzle,172,9178,1399,11976.0,2.061,Who’s ready for work? https://t.co/MHxQrNfVKF
rihanna,59000000,144,4,Likely to fizzle,144,3368,1653,6674.0,1.044,. http://t.co/BQaVvtATEm
YouTube,60000000,144,20,Likely to fizzle,261,47,7,61.0,0.045,@pgj1997 One of these days ...
instagram,45000000,141,18,Likely to fizzle,260,1509,364,2237.0,1.642,“People are transported to another place. They can forget about the outside world.” —Allison Kiehl (@Botanic)
Twitter,55000000,143,4,Likely to fizzle,143,1502,401,2304.0,2.196,"Create, collab, and chill with this week's @Vine #SongCollab featuring @WillGittens 🎸 

https://t.co/DzTChPWayg 

ht"
taylorswift13,83000000,147,62,Has legs,770,2181,6955,16091.0,0.513,Thank you so much for my People's Choice Award! Favorite Country Artist! PARTY!!! Seriously- thank you for voting.
taylorswift13,83000000,147,4,Likely to fizzle,147,15160,12540,40240.0,1.285,"""For whatever we lose (like a you or a me),
It's always ourselves we find in the sea.""
E.E. Cummings http://t.co/P3wOB"
jtimberlake,41000000,140,4,Likely to fizzle,140,710,1308,3326.0,1.229,"CONGRATS! The brand new #TakeBackTN video is now live!!! Click ""Chinatown"" icon to play it!! http://t.co/qB3Tv6Udii -tea"
taylorswift13,83000000,147,4,Likely to fizzle,147,5996,7575,21146.0,0.674,"Just picked my dress for Billboard Awards, which reminds me- only a few days left to vote for the Milestone Award! http:"
jtimberlake,41000000,140,4,Likely to fizzle,140,8199,1546,11291.0,4.169,"I AM unemployed... 🤔

#GrindCity https://t.co/tirjI6fXZn"
Twitter,55000000,143,4,Likely to fizzle,143,681,435,1551.0,1.479,It's now easier to follow conversations on http://t.co/SlNTFacp9A. Fire up those replies! https://t.co/bsKif5Er1Z http:/
jimmyfallon,42000000,140,4,Likely to fizzle,140,2576,713,4002.0,1.794,"Natalie Portman, @Sia, and I perform ""Iko Iko"" with @TheRoots https://t.co/QNnQSNLewO #FallonTonight"
ladygaga,64000000,145,4,Likely to fizzle,145,9444,5882,21208.0,1.848,They had to land the plane early. Face mask and cigarette on the Tarmac. Ways to stay relaxed during holiday travels. ht
katyperry,95000000,149,23,Likely to fizzle,296,1819,2933,7685.0,0.536,Thanks darlin' RT @frank_ocean: @katyperry happy birthday lil mama
instagram,45000000,141,4,Likely to fizzle,141,653,129,911.0,0.668,Boredom in a California hotel room leads to an action-packed submission to #WHPmagic https://t.co/eN0VXdxkYp
britneyspears,36000000,138,15,Likely to fizzle,229,386,191,768.0,0.201,@Fps_Kimberly @britney_bxxch Followed! See u both at the show :) #PieceOfMeTixTomorrow
selenagomez,45000000,141,4,Likely to fizzle,141,7000,6844,20688.0,1.134,That face -@charmladonna you my face muse tho 😂 http://t.co/CeOBP9ZUWA
BarackObama,78000000,147,4,Likely to fizzle,147,4355,1738,7831.0,2.222,"Today, America celebrates the grit and resilience of working families. Happy #LaborDay. http://t.co/WUEQreifAe"
jtimberlake,41000000,140,27,Limited spread,337,3153,4702,12557.0,4.64,Congrats to Rafael Nadal! He threw it down tonight! #USOPEN2013
taylorswift13,83000000,147,4,Likely to fizzle,147,37488,15926,69340.0,2.214,"Kelly Clarkson covered Blank Space and YES.
http://t.co/qwhXSxPOEx"
selenagomez,45000000,141,4,Likely to fizzle,141,1283,3302,7887.0,0.432,Thank You to all who came out to the show last night at House of Blues on Sunset.  That is one of the shows I look... ht
TheEllenShow,65000000,145,4,Likely to fizzle,145,1564,239,2042.0,0.351,"First these two created the #RunningManChallenge, now they’re running the red carpet. https://t.co/RmkS0tsDSa"
jimmyfallon,42000000,140,7,Likely to fizzle,164,1773,577,2927.0,1.312,"Wow. That was fun. Neil Young singing ""Crazy"" on our show tonight!!! http://t.co/DVR2LyGy2b"
jimmyfallon,42000000,140,20,Likely to fizzle,278,2294,545,3384.0,1.517,No @U2 this week. But we'll think of something and send vibes to Bono for a speedy recovery.
jtimberlake,41000000,140,4,Likely to fizzle,140,2382,555,3492.0,1.29,"#UK, I wanna see you move! @olivertrevena knows what I mean https://t.co/7EC69U5SEg #CantStopTheFeeling @AppleMusic http"
cnnbrk,25000000,134,3,Likely to fizzle,134,1731,621,2973.0,2.156,"The Chicago Cubs beat the Cleveland Indians 3-2 in Game 5 of the World Series, which the Indians lead 3 games to 2.… htt"
rihanna,59000000,144,4,Likely to fizzle,144,995,1835,4665.0,0.729,#Rihpost http://t.co/bdH2O2hz
shakira,42000000,140,4,Likely to fizzle,140,495,240,975.0,0.404,(Si no saben el código de su país lo podrán encontrar aquí http://t.co/TRmc6ose2O.  ShakHQ)
justinbieber,91000000,148,11,Likely to fizzle,199,96009,89706,275421.0,1.942,When it comes to music we shouldn't be put up against eachother. Music isn't about competition it is about collaboration
justinbieber,91000000,148,4,Likely to fizzle,148,116009,62529,241067.0,1.7,"Listen to Illuminate (Deluxe) by Shawn Mendes on @AppleMusic.
https://t.co/vXuOt3pYgn"
ArianaGrande,42000000,140,4,Likely to fizzle,140,41618,21776,85170.0,2.123,https://t.co/Mh85BkNG6E
YouTube,60000000,144,17,Likely to fizzle,254,114,39,192.0,0.141,@HaileeSteinfeld So many views in such little time. Congrats Hailee!
ddlovato,41000000,140,10,Likely to fizzle,194,15977,7366,30709.0,0.94,Go get my lil sis @BeaMiller’s new song!! https://t.co/j46blkPa6h #YESGIRLONITUNES https://t.co/v3iJZJu2H8
TheEllenShow,65000000,145,12,Likely to fizzle,205,8479,1297,11073.0,1.906,"Happy birthday, @BillClinton! I hope @HillaryClinton got you some balloons. https://t.co/xIqxMSIJug"
taylorswift13,83000000,147,4,Likely to fizzle,147,48305,19597,87499.0,2.794,"Trouble
Trouble
Trouble...
#1989TourCologne http://t.co/FelkHmeQHT"
YouTube,60000000,144,4,Likely to fizzle,144,1557,309,2175.0,1.593,A practical way to celebrate your accomplishments ... https://t.co/0IGj0LrkaG https://t.co/zon78L4sbv
taylorswift13,83000000,147,4,Likely to fizzle,147,2793,4661,12115.0,0.386,"""Today."" http://t.co/t4CSrvVj"
jtimberlake,41000000,140,33,Limited spread,355,306,191,688.0,0.254,“@chellychelle: @jtimberlake no shoes for Frisco?!?! I was ready for the hunt. Show killed. #legendsofsummer” #youneverk
TheEllenShow,65000000,145,4,Likely to fizzle,145,13748,3146,20040.0,3.449,This is a deleted scene from Narcos. https://t.co/hps9uOAf7a
britneyspears,36000000,138,21,Likely to fizzle,272,6316,2990,12296.0,3.221,Thank you for all of the sweet wishes! Had a little scare on stage tonight with my ankle but I’m ok! ❤️
jimmyfallon,42000000,140,13,Likely to fizzle,221,1932,783,3498.0,1.568,We crammed it all into two hours of madness. Tomorrow at 9 #BestOfFallon
jtimberlake,41000000,140,4,Likely to fizzle,140,1485,391,2267.0,0.837,Hahahahahahahaha! 🏆🏆🏆🎃‼️ https://t.co/ZrAtSUxidn
rihanna,59000000,144,35,Limited spread,417,7902,8106,24114.0,3.77,Ooohhhhhh SHIIIIITTTT!!!!!
jtimberlake,41000000,140,5,Likely to fizzle,153,1417,455,2327.0,0.858,"“@Taniell: @jtimberlake too bad the @Dodgers lost to the @Cardinals.... Again. Maybe next year."" Uh. It's not over yet. "
Twitter,55000000,143,4,Likely to fizzle,143,57,84,225.0,0.214,Discover what's happening around the Midterm Elections http://t.co/vRY7cuc
YouTube,60000000,144,5,Likely to fizzle,153,1093,424,1941.0,1.422,"🖊🍍🍎🖊  
Good luck getting this song out of your head today → https://t.co/dgcU3mghKU #PPAP https://t.co/FztNPk1fUO"
ArianaGrande,42000000,140,23,Likely to fizzle,287,30943,17807,66557.0,1.659,good morning my loves
ladygaga,64000000,145,31,Limited spread,348,2448,1218,4884.0,0.425,". @holyh00ker I was emotional during every song, that's the only way to sing jazz. Honest."
shakira,42000000,140,4,Likely to fizzle,140,1205,462,2129.0,0.882,"With conductor Stanley Dodds from the @BerlinPhil, after a concert on Haydn, Glière and Tchaikovsky. Shak http://t.co/bN"
ArianaGrande,42000000,140,4,Likely to fizzle,140,14828,5808,26444.0,0.658,💜💜💜💜 https://t.co/cUwQsm2RS1
ArianaGrande,42000000,140,4,Likely to fizzle,140,32019,10237,52493.0,1.308,♡  https://t.co/DmaaO77iM5
justinbieber,91000000,148,4,Likely to fizzle,148,89741,63743,217227.0,1.532,@RubyRose nice piano http://t.co/TJp22KKzTO
jimmyfallon,42000000,140,17,Likely to fizzle,247,1491,258,2007.0,0.899,"Happy #ThankYouNoteFriday! Tonight: Playing a really fun new game w/@KevinSpacey, plus @KeeganMKey stops by &amp; stand-"
jimmyfallon,42000000,140,33,Limited spread,387,627,75,777.0,0.348,Thanks Steph and Tina. You saved Springsteen!!! #BestOfFallon
rihanna,59000000,144,21,Likely to fizzle,284,6724,6980,20684.0,3.234,HELLOOOOO #MANILA
selenagomez,45000000,141,4,Likely to fizzle,141,8996,6244,21484.0,1.178,Just posted a photo http://t.co/5c1f70zpW2
instagram,45000000,141,4,Likely to fizzle,141,687,145,977.0,0.717,"Participate in this weekend’s hashtag project: #WHPboomerangoftheyear 
https://t.co/lGHPNP3DPu https://t.co/0ZAsFSRboG"
ladygaga,64000000,145,55,Has legs,710,2360,679,3718.0,0.324,@rlywho wow 😭
rihanna,59000000,144,4,Likely to fizzle,144,14165,4883,23931.0,3.742,Twinzies http://t.co/QE4YaRGAf5
britneyspears,36000000,138,11,Likely to fizzle,197,624,438,1500.0,0.393,@JamieLynnSpears Rematch on Christmas ;) #IAmBritneyJean
jtimberlake,41000000,140,4,Likely to fizzle,140,364,332,1028.0,0.379,Bring it on Philly! Come find these thetnkids &amp; get these Nikes worn &amp; signed by JT! #finderskeepers… http://t.c
ladygaga,64000000,145,4,Likely to fizzle,145,3411,2256,7923.0,0.69,40mins til my #CheekToCheek live Twitter Q&amp;A w @itstonybennett Send questions! #AskTonyAndGaga http://t.co/RfTYsf4U5
jimmyfallon,42000000,140,4,Likely to fizzle,140,773,839,2451.0,1.099,Lip sync’n with these guys @StephenMerchant @hitRECordJoe was fun. http://t.co/UBi8euOaiv
ArianaGrande,42000000,140,12,Likely to fizzle,208,22200,10717,43634.0,1.088,"""WOW guys"".... jones LOVES fields of flowers https://t.co/5GDOYxB0IL"
selenagomez,45000000,141,4,Likely to fizzle,141,479,1362,3203.0,0.176,It was great hanging with my fans today at Despierta America in Miami! http://fb.me/13jPHMTcl
YouTube,60000000,144,4,Likely to fizzle,144,1776,263,2302.0,1.686,The @TheGigiGorgeous doc will debut exclusively as one of our upcoming #YTRedOriginals 💋 💋 💋 https://t.co/RuWFUzvzpl
ArianaGrande,42000000,140,4,Likely to fizzle,140,20589,10610,41809.0,1.042,🙈🌙☁️ https://t.co/b8lvYDDxZF
Twitter,55000000,143,4,Likely to fizzle,143,2751,693,4137.0,3.944,@SteveCarell https://t.co/bTXndNjfCB
ddlovato,41000000,140,13,Likely to fizzle,215,4153,1689,7531.0,0.231,@emmilyyann ask her if aliens are real. She pinky promised me 💁🏻😝
ddlovato,41000000,140,17,Likely to fizzle,252,3299,1595,6489.0,0.199,@EarthToKiki_ Utah
justinbieber,91000000,148,4,Likely to fizzle,148,80857,50461,181779.0,1.282,RIP Thomas #PrayForParis https://t.co/L4nHUGEFWK
YouTube,60000000,144,4,Likely to fizzle,144,2906,1143,5192.0,3.804,Watch yourself. Ariana Grande is a dangerous woman. https://t.co/xLvruIJk5X https://t.co/ab5bb6rgHN
katyperry,95000000,149,4,Likely to fizzle,149,12586,7766,28118.0,1.962,Sometimes I can get a little crabby. http://t.co/lJ6CKfAE96
TheEllenShow,65000000,145,5,Likely to fizzle,158,8117,2284,12685.0,2.183,I love scaring people. Especially in a museum. https://t.co/p9JRpLXvds
KimKardashian,48000000,142,9,Likely to fizzle,188,1892,284,2460.0,0.323,EXCLUSIVE PICS: BTS OF MY MET GALA GLAM https://t.co/ptyHcvYl6P
ladygaga,64000000,145,26,Limited spread,324,2867,1400,5667.0,0.494,"@jordvnhaus i love that picture, keep shining. So fun to see a little monster wowing everyone. Your confidence is beauti"
justinbieber,91000000,148,36,Limited spread,424,42468,40208,122884.0,0.867,WHAT DO YOU MEAN? @Skrillex #1Day it's time http://t.co/lS6oSL9mfd
YouTube,60000000,144,4,Likely to fizzle,151,1232,273,1778.0,1.303,"It’s not a trick, it’s an illusion. 10 bets you’ll always win → https://t.co/ldymt4wCe7 https://t.co/t2YhQgtDW1"
cnnbrk,25000000,134,3,Likely to fizzle,134,525,738,2001.0,1.451,Law enforcement sources identify suspect in Fort Lauderdale airport shooting as Esteban Santiago.… https://t.co/gJ2XIES6
shakira,42000000,140,4,Likely to fizzle,140,179,202,583.0,0.242,"Para los residentes de US, no se pierdan las actuaciones de anoche de Sasha, Garrett y Kris en YouTube http://t.co/pReMG"
TheEllenShow,65000000,145,4,Likely to fizzle,145,3965,642,5249.0,0.903,New York Premiere tapes tomorrow. #EllenInNYC #BGxED http://t.co/v664KPTFWp
YouTube,60000000,144,10,Likely to fizzle,198,16,7,30.0,0.022,@JATetro @Tsoukalos 🤔
ArianaGrande,42000000,140,4,Likely to fizzle,140,20405,8038,36481.0,0.908,🌙✨ https://t.co/Hl3CrWN7Pk
Cristiano,52000000,142,63,Has legs,800,653,287,1227.0,0.27,@baharCR7 What’s going on? Everything good in Denmark?
jtimberlake,41000000,140,4,Likely to fizzle,147,31,88,207.0,0.076,who's getting their golf on? http://bit.ly/9N837v
ArianaGrande,42000000,140,23,Likely to fizzle,290,6903,1748,10399.0,0.259,@lovinariana i cannnnot wait
britneyspears,36000000,138,3,Likely to fizzle,138,9100,5750,20600.0,5.397,"A woman is like a beautiful flower, the true beauty inside. #Ambrosia http://t.co/duhX7fszZ2"
BarackObama,78000000,147,12,Likely to fizzle,206,1803,1422,4647.0,1.319,Tonight the President will address the nation on the steps he's taking to fix our broken immigration system. #Immigratio
ladygaga,64000000,145,9,Likely to fizzle,180,6193,4081,14355.0,1.251,This was a highlight! @Haus_of_savelo: ASIA DOING PUSH UPS WITH GAGA JUST PURE LOVE💕 #artRaveLIVESTREAM @ladygaga http:/
BarackObama,78000000,147,4,Likely to fizzle,147,716,334,1384.0,0.393,Tune in at 3:45 p.m. ET to watch President Obama speak from Michigan about the resurgent American auto industry: http://
ladygaga,64000000,145,4,Likely to fizzle,145,10978,3303,17584.0,1.532,"Calling all Monsters! Watch the debate in 30 min, I am!  If you don't know who to vote for... #Vote4America… https://t.c"
instagram,45000000,141,4,Likely to fizzle,141,1630,497,2624.0,1.927,"Today, our thoughts are with the people of Turkey, after a fatal attack in Istanbul’s airport. https://t.co/mOrpFpC0kE"
selenagomez,45000000,141,42,Limited spread,514,708,2831,6370.0,0.349,"I love the holidays :) 
Jammin to Christmas music!!"
selenagomez,45000000,141,4,Likely to fizzle,141,7400,10597,28594.0,1.568,Dubai Music Week I'm comin.. :) http://t.co/IrI0bGnGyv
ladygaga,64000000,145,5,Likely to fizzle,156,7387,3913,15213.0,1.326,WORK IT JODIE RT @inGagasHeart: Gaga check out Jodie's outfit! 😊💗 @ladygaga http://t.co/ZmngxTzK57”
instagram,45000000,141,8,Likely to fizzle,177,2739,1250,5239.0,3.847,"""Wear your heart out on your sleeve. Love is all you need."" —Christina Grimmie ❤️ #RIPChristina https://t.co/iBS1nakaaq"
cnnbrk,25000000,134,3,Likely to fizzle,134,1482,1075,3632.0,2.634,"America's middle class got its first raise since 2007, and the poverty rate went down, Census Bureau says. https://t.co/"
KimKardashian,48000000,142,4,Likely to fizzle,142,3093,567,4227.0,0.556,Love working with Dress for Success! Such an amazing cause. Read all about it on my app &lt;3 http://t.co/rY3CPghY2T htt
cnnbrk,25000000,134,3,Likely to fizzle,134,444,522,1488.0,1.079,"Probe into weekend blasts in NY, NJ leads to signs of a possible terror cell, law enforcement officials say. https://t.c"
KimKardashian,48000000,142,27,Limited spread,335,15711,2396,20503.0,2.697,"I am obsessed with my husband, but its not him #VMAs"
jtimberlake,41000000,140,4,Likely to fizzle,142,9574,2930,15434.0,5.699,"Tonight, 9PM PST. #CantStopTheFeeling #OfficialVideo https://t.co/MxZGJF4uou"
YouTube,60000000,144,5,Likely to fizzle,166,1299,109,1517.0,1.111,"En garde!!! Let’s go, @MatPatGT ⚔⚔⚔  #VidCon #YTRedOriginals https://t.co/7NEsbceK1i"
BarackObama,78000000,147,12,Likely to fizzle,207,1117,647,2411.0,0.684,"""When it comes to issues like infrastructure and basic research, I know there’s bipartisan support in this chamber."" —Pr"
Cristiano,52000000,142,4,Likely to fizzle,142,756,1991,4738.0,1.045,"Be bold. Be decisive. Don’t get left behind. 
My Time is Now: http://t.co/hmECH3wK #makeitcount http://t.co/Ec5D0D4J"
Cristiano,52000000,142,22,Likely to fizzle,285,1853,664,3181.0,0.702,You asked: How are you today? http://t.co/kM5zjlcZKA
taylorswift13,83000000,147,4,Likely to fizzle,147,13433,8917,31267.0,0.997,"Feel like seeing the outtakes of the Shake It Off video ballet section? 
Step 1: http://t.co/lMocgNd5GN Step 2: http://"
instagram,45000000,141,4,Likely to fizzle,141,1765,426,2617.0,1.921,"Introducing ""Instagram For Business"" on Facebook: a new resource for turning customers into community https://t.co/Fa87T"
justinbieber,91000000,148,4,Likely to fizzle,148,79627,43435,166497.0,1.174,#StreamColdWater on @Spotify to unlock a video https://t.co/OGOAyWNOKI
BarackObama,78000000,147,4,Likely to fizzle,147,1812,516,2844.0,0.807,Show your support for bold action to fight climate change. https://t.co/DnEYpzMPrY #ActOnClimate
rihanna,59000000,144,4,Likely to fizzle,144,10312,5976,22264.0,3.481,Get #BBHMM here ---&gt; http://t.co/7dhWNcS0Vr
jimmyfallon,42000000,140,27,Limited spread,316,1132,311,1754.0,0.786,"Tonight we've got @JonahHill, Mayor @RahmEmanuel, and @Soundgarden performs. Plus new #ProsAndCons! #FallonTonight"
rihanna,59000000,144,4,Likely to fizzle,144,11182,5911,23004.0,3.597,#HOME  Oh! http://t.co/7BwNkBebgi
ddlovato,41000000,140,33,Limited spread,406,10194,8121,26436.0,0.811,THIS IS SO EMBARRASSING I HAD TO POST IT!!!!!!!!!!!! THANK YOU ELVIS DURAN!!!!!!! LOVE YOU!!!!!!!… https://t.co/11kAzGXq
ArianaGrande,42000000,140,4,Likely to fizzle,140,16634,8816,34266.0,0.853,ya baby boy Toulouse shot by the incredible Steven Meisel coach #coachpups #DATSIGNATUREWINKDOE #wtf… https://t.co/YMoDy
KimKardashian,48000000,142,66,Has legs,791,9215,1346,11907.0,1.567,Just saw a screening of the movie JOY. It's super inspiring!!!! Was REALLY good! You guys should really go see it.
jimmyfallon,42000000,140,4,Likely to fizzle,140,1779,203,2185.0,0.979,Haaa. Youse. https://t.co/iWC0LNv2Bm
justinbieber,91000000,148,16,Likely to fizzle,237,24339,20271,64881.0,0.458,@MartinGarrix woooohoooo
jtimberlake,41000000,140,4,Likely to fizzle,140,1776,3460,8696.0,3.211,"I love you guys. But, this teasing is just too much fun! Tick, tock, tick, tock... #YouNeverKnow #JT2013 http://t.co/qdC"
jtimberlake,41000000,140,22,Likely to fizzle,286,3544,6453,16450.0,6.075,Happy Memorial Day! Cheers to all of our men and women who serve to protect this GREAT nation and our freedom. #Salute #
jimmyfallon,42000000,140,4,Likely to fizzle,140,1110,170,1450.0,0.65,.@jayleno tags in to tell a few jokes during last night's monologue https://t.co/D1CiQ7hKL1 #FallonTonight
britneyspears,36000000,138,12,Likely to fizzle,196,101,72,245.0,0.064,@Seargee Send me pics when u get it :)
selenagomez,45000000,141,4,Likely to fizzle,141,15175,10361,35897.0,1.968,#thankyoujesus http://t.co/hqqUFGbWMT
ladygaga,64000000,145,4,Likely to fizzle,145,7539,3219,13977.0,1.218,"Thank you. @krisjenner for standing up for women. #notyourfault the more that stand, the more will hear the message. htt"
selenagomez,45000000,141,4,Likely to fizzle,141,636,1799,4234.0,0.232,"Tune in on Tomorrow, November 15th for a behind-the-scenes look of my Dream Out Loud photo shoot and live chat... http:/"
katyperry,95000000,149,14,Likely to fizzle,228,16801,8344,33489.0,2.337,"When auto correct turns the word ""food"" into ""goodbye"" is when I know it's end of days 😑"
ArianaGrande,42000000,140,36,Limited spread,428,17324,8621,34566.0,0.86,wow no that typi
shakira,42000000,140,4,Likely to fizzle,140,259,427,1113.0,0.461,Enter Shak &amp; @3gerardpique #babyshower to help underprivileged babies &amp; see pictures of the expectant couple  ht
BarackObama,78000000,147,4,Likely to fizzle,147,5296,2337,9970.0,2.829,This is unprecedented. #DoYourJob https://t.co/kMdn564dCW
ArianaGrande,42000000,140,76,Viral potential,1000,28287,15453,59193.0,1.475,DARE I CHANGE MY HEADER????? (it's been 84 years) (you already know)
selenagomez,45000000,141,4,Likely to fizzle,141,6902,7417,21736.0,1.192,Goodnight Vegas 😴 http://t.co/WFWlAaHhhS
instagram,45000000,141,5,Likely to fizzle,153,899,201,1301.0,0.955,"Dogs can’t fly, but this one comes close! https://t.co/XOS7zChpBo"
