rank,rank_error,signed_error,score,score_pct,rel_amp,actual_rel_amp_pct,reach_median,reach_median_pct,engagement,engagement_pct,reach_vs_eng_error,verdict,author,likes,retweets,tweet
53,0.26,-0.26,4,27.7,0.616,27.96,147,42.96,2170.0,28.32,14.65,Likely to fizzle,BarackObama,1302,434,This is about leveling the playing field for American workers in the global economy—say it's time to #LeadOnTrade: http:
54,0.26,-0.26,4,27.7,0.616,27.96,145,36.99,3582.0,40.83,3.85,Likely to fizzle,TheEllenShow,2656,463,I love being kind. So does @KindSnacks. Nominate a kind person&amp;they could be rewarded in kind by The Kind Foundation
55,0.26,-0.26,4,27.7,0.616,27.96,149,49.12,8836.0,59.83,10.71,Likely to fizzle,katyperry,5672,1582,Buy me something off my amazon prime list  https://t.co/EWenA4cq1F
56,0.26,-0.26,4,27.7,0.616,27.96,140,9.41,1486.0,19.71,10.3,Likely to fizzle,shakira,594,446,Así se hizo la sesión de fotos para @glamourmag http://t.co/EkGCbyUHaF. Para comprar ejemplar para su iPad http://t.co/y
57,0.26,0.26,3,2.17,0.049,1.91,134,1.68,67.0,1.29,0.39,Likely to fizzle,cnnbrk,31,18,"@cnnbrk Correction: Chicago police move to fire 5 officers, not 6, as earlier reported https://t.co/xcY0wVcChh https://t"
58,0.27,-0.27,19,78.76,1.994,79.03,270,80.07,36357.0,85.57,5.5,Likely to fizzle,selenagomez,13093,11632,#NEOrunway is so close! @gogomezsmile has been GREAT helping @adidasNEOlabel make decisions! Can YOU help with this? htt
59,0.28,0.28,28,86.39,2.701,86.11,325,85.55,17276.0,72.08,13.47,Limited spread,rihanna,8558,4359,.@VALLINIAndre @fhollande This is great news! Looking forward to it!
60,0.28,-0.28,21,80.9,2.141,81.18,268,79.83,30680.0,82.33,2.5,Likely to fizzle,katyperry,19186,5747,Lets also work on the hearts and minds of this country and that is how real change will begin.
61,0.28,0.28,19,78.76,1.958,78.48,255,77.83,11378.0,64.87,12.96,Likely to fizzle,TheEllenShow,6420,2479,It’s Clear the Shelters Day. I hope everyone gets to know the joy of adopting a rescue pet. There’s no better feeling.
62,0.28,0.28,11,66.02,1.39,65.74,215,68.97,197134.0,98.77,29.8,Likely to fizzle,justinbieber,97786,49674,Miami #PurposeTour
63,0.29,0.29,4,27.7,0.607,27.41,140,9.41,1465.0,19.36,9.95,Likely to fizzle,shakira,397,534,"Gracias por haber Comprado Un Ladrillo. Con su aporte, la escuela de Colombia va tomando forma! +INFO -&gt; http://t.co/"
64,0.29,0.29,4,27.7,0.607,27.41,145,36.99,3529.0,40.4,3.41,Likely to fizzle,TheEllenShow,2437,546,"Win a $500 Container Store gift card in the Ellen Shop today! I’m so excited I can’t contain myself, which is ironic. ht"
65,0.29,0.29,4,27.7,0.607,27.41,140,9.41,1465.0,19.36,9.95,Likely to fizzle,shakira,345,560,"For every dollar invested in a child's basic education, $17 are eventually returned to the state http://t.co/Gv7DUYcCvn "
66,0.29,0.29,4,27.7,0.607,27.41,147,42.96,2139.0,27.97,14.99,Likely to fizzle,BarackObama,1153,493,Next stop: Kansas. Tune in at 12:25 p.m. ET to watch President Obama talk about middle-class economics. http://t.co/m4PV
67,0.33,-0.33,4,27.7,0.617,28.03,145,36.99,3587.0,40.89,3.9,Likely to fizzle,TheEllenShow,2589,499,You’re about to be struck by a smooth criminal. https://t.co/IXkJUieRwF
68,0.33,-0.33,4,27.7,0.617,28.03,141,17.96,841.0,9.78,8.18,Likely to fizzle,instagram,601,120,Taking on the next challenge with @DjokerNole https://t.co/LzuPaDi4YK
69,0.33,-0.33,4,27.7,0.617,28.03,140,9.41,20130.0,74.69,65.28,Likely to fizzle,ddlovato,11086,4522,"Yes! Body Say in 360, exclusively from @MarriottRewards. https://t.co/egMJ6ifDRb #FriendOfMR"
70,0.34,-0.34,16,75.01,1.792,75.34,241,75.32,1880.0,25.09,50.24,Likely to fizzle,Twitter,1154,363,"""What is art? Are we art? Is art art?"" 👓
https://t.co/MVxyFJgVwT"
71,0.34,-0.34,15,73.43,1.718,73.77,229,72.77,3832.0,42.66,30.1,Likely to fizzle,jimmyfallon,2266,783,"And tomorrow night, performing for the first time on late night TV in over 13 years, the one &amp; only @billyjoel!! #Fa"
72,0.34,0.34,10,64.28,1.332,63.95,196,64.14,10121.0,62.61,1.53,Likely to fizzle,KimKardashian,8293,914,Happy Birthday to one of the most genuine funniest guys I know! I love you @olivier_rousteing https://t.co/0s2ZVGrbTJ
73,0.34,-0.34,6,56.14,1.128,56.47,169,57.31,12944.0,67.13,9.82,Likely to fizzle,ladygaga,5036,3954,"BUY our new SONG ""I Can't Give You Anything But Love. "" http://t.co/zu4nMBljXq Its a steamy swinger! http://t.co/lDIrBgz"
74,0.34,-0.34,6,56.14,1.128,56.47,163,55.41,36706.0,85.73,30.32,Likely to fizzle,ddlovato,19234,8736,Lovatics! I KNOW you guys can help us win this  #VoteIrresistible + keep voting all month! https://t.co/QS4PPN6xAi https
75,0.34,0.34,4,27.7,0.606,27.36,140,9.41,1463.0,19.33,9.92,Likely to fizzle,shakira,665,399,¡Qué buena onda tiene esta canción!  Y que pedazo de letrista! @GrupManel http://t.co/Fy9WOG8Keo Shak http://t.co/oPsE0c
76,0.36,-0.36,9,62.57,1.302,62.93,190,62.84,1774.0,23.92,38.92,Likely to fizzle,YouTube,1264,255,[LIVE] It’s the last day of #EDC20. Help us shut this thing down! https://t.co/DU4818YR2E https://t.co/ovp9JfbTYd
77,0.37,-0.37,10,64.28,1.355,64.65,192,63.23,15555.0,70.5,7.27,Likely to fizzle,ladygaga,6531,4512,@RedOne_Official that song we wrote changed both our lives. Such a blessing to see our music inspiring the next generati
78,0.4,-0.4,13,69.69,1.558,70.09,224,71.41,11845.0,65.57,5.85,Likely to fizzle,KimKardashian,8409,1718,How cute is @KellyRipa !!!!! Haha @michaelstrahan You guys nailed it! Happy Halloween! https://t.co/Vts0wQHHsq
79,0.4,0.4,4,27.7,0.605,27.3,140,9.41,19730.0,74.25,64.84,Likely to fizzle,ddlovato,7960,5885,This song is very emotional for me. I literally poured all of my heart into this song #NowPlayingCONFIDENT https://t.co/
80,0.4,0.4,4,27.7,0.605,27.3,145,36.99,3518.0,40.33,3.34,Likely to fizzle,TheEllenShow,2540,489,Women’s History Month is a good time to remember that a woman can fall off a treadmill as good as a man. https://t.co/RJ
81,0.4,0.4,4,27.7,0.605,27.3,140,9.41,24302.0,77.84,68.43,Likely to fizzle,ArianaGrande,14596,4853,😚😚😚 https://t.co/4Px09wslbB
82,0.41,-0.41,4,27.7,0.618,28.11,144,31.6,844.0,9.82,21.78,Likely to fizzle,YouTube,672,86,Raise your hands if you’re stoked for the latest lineup of #YTRedOriginals! https://t.co/Khj2NNgh5L 🖐 https://t.co/eD2io
83,0.41,-0.41,4,27.7,0.618,28.11,141,17.96,842.0,9.79,8.17,Likely to fizzle,instagram,638,102,"A long walk down the aisle in Chihuahua, Mexico https://t.co/EC1pdbwSkT"
84,0.41,-0.41,4,27.7,0.618,28.11,147,42.96,2177.0,28.45,14.52,Likely to fizzle,BarackObama,1425,376,"LIVE: President Obama is speaking with @BuzzFeed about his #SCOTUS nominee, Judge Merrick Garland. https://t.co/suytYAcF"
85,0.41,-0.41,4,27.7,0.618,28.11,147,42.96,2179.0,28.47,14.49,Likely to fizzle,BarackObama,961,609,President Obama is speaking at 12:45 p.m. ET about how far the housing market has come since the recession. Tune in: htt
86,0.41,-0.41,4,27.7,0.618,28.11,147,42.96,19387.0,73.92,30.96,Likely to fizzle,taylorswift13,8933,5227,NYC memories.. #1989SecretSessions http://t.co/BQDVDoPdLt
87,0.42,-0.42,20,79.88,2.083,80.3,269,79.93,4648.0,47.2,32.73,Likely to fizzle,jimmyfallon,3444,602,Honored to have @POTUS and @Madonna on the show tonight. #POTUSonFallon #NBC
88,0.42,-0.42,15,73.43,1.721,73.85,239,74.91,6065.0,52.52,22.39,Likely to fizzle,BarackObama,3117,1474,"""Democracy does require basic bonds of trust between its citizens."" —President Obama #SOTU"
89,0.42,-0.42,10,64.28,1.356,64.7,191,63.05,3672.0,41.48,21.57,Likely to fizzle,jtimberlake,1836,918,Did you catch Justin at @rockinrio Lisbon? Check out his performance of #NotABadThing now!!! -team JT http://t.co/NcyM1A
90,0.43,-0.43,27,85.65,2.697,86.08,335,86.28,20503.0,74.94,11.34,Limited spread,KimKardashian,15711,2396,"I am obsessed with my husband, but its not him #VMAs"
91,0.45,0.45,11,66.02,1.385,65.57,205,66.33,196414.0,98.76,32.43,Likely to fizzle,justinbieber,98064,49175,#PurposeTourSaltLakeCity
92,0.46,0.46,23,82.64,2.244,82.19,292,82.59,13040.0,67.33,15.27,Likely to fizzle,TheEllenShow,10286,1377,Happy #TBT! I’ve never been good at pottery. https://t.co/YxBXuEU7pV
93,0.46,0.46,16,75.01,1.753,74.55,228,72.53,70334.0,93.22,20.69,Likely to fizzle,ArianaGrande,30756,19789,livin for loveeee
94,0.47,-0.47,4,27.7,0.619,28.17,144,31.6,3959.0,43.43,11.83,Likely to fizzle,rihanna,1051,1454,#killa http://t.co/JFXDuw8Nt6
95,0.47,-0.47,4,27.7,0.619,28.17,144,31.6,845.0,9.84,21.77,Likely to fizzle,YouTube,647,99,"Can someone pls tell us what’s going on in the new @KingsOfLeon vid, thx. https://t.co/jxd6HpfI1O https://t.co/ueteuK5U3"
96,0.47,-0.47,4,27.7,0.619,28.17,145,36.99,7104.0,55.33,18.34,Likely to fizzle,ladygaga,3072,2016,#artRaveMilan let's get this party started with some killer hair and makeup http://t.co/2KgrSDRO8J
97,0.47,0.47,4,27.7,0.604,27.23,145,36.99,3512.0,40.27,3.29,Likely to fizzle,TheEllenShow,1964,774,Prepare yourselves. Here is Part 2 of Andy and @EricStonestreet’s haunted house adventure. https://t.co/ybc9Bmr6Ji
98,0.47,0.47,4,27.7,0.604,27.23,145,36.99,3515.0,40.3,3.31,Likely to fizzle,TheEllenShow,2639,438,Check out my hooters! There¹s the mother and the father and the baby in the middle. http://t.co/PPl4Y3F7Ga
99,0.47,0.47,4,27.7,0.604,27.23,140,9.41,24254.0,77.8,68.39,Likely to fizzle,ArianaGrande,15870,4192,♡ https://t.co/sANCduURjx
100,0.47,0.47,4,27.7,0.604,27.23,147,42.96,2308.0,29.92,13.04,Likely to fizzle,britneyspears,852,728,New dates added to #PieceOfMe! Get those tix early if ur an @AmericanExpress member!! :) http://t.co/Gb4jFpusgS
101,0.5,0.5,21,80.9,2.089,80.4,288,82.17,4661.0,47.29,34.88,Likely to fizzle,jimmyfallon,1249,1706,Pearl Jam week starts tonight!!!
102,0.5,-0.5,13,69.69,1.562,70.19,215,68.97,17928.0,72.66,3.69,Likely to fizzle,ladygaga,8294,4817,"You're so special my baby. Your email made me cry @samsmithworld With the voice of an angel, u need no permission or adv"
103,0.51,0.51,36,90.87,3.462,90.36,431,90.91,20114.0,74.66,16.25,Limited spread,TheEllenShow,13316,3399,"Happy birthday, @LadyGaga! Today you can wear whatever you want and no one can say a thing!"
104,0.51,0.51,12,67.85,1.449,67.34,211,67.94,58140.0,91.62,23.68,Likely to fizzle,ArianaGrande,27316,15412,"i. don't. want. this. to. be. the. last. show. of. this. leg...... thank. god. there's more to come. see you very soon, "
105,0.52,0.52,54,95.99,5.498,95.48,712,96.35,14889.0,69.63,26.72,Has legs,jtimberlake,8041,3424,Wow.
106,0.52,0.52,5,52.97,1.041,52.46,153,51.67,41751.0,87.81,36.14,Likely to fizzle,ArianaGrande,21175,10288,the cutest little boy in front of me on the plane gave this to me...... I sent him one back!… https://t.co/qQmQhYKCCV
107,0.53,0.53,42,93.17,4.091,92.64,486,92.65,31093.0,82.64,10.02,Limited spread,KimKardashian,23991,3551,a girl!!!!!!!!!! how cute is she going to be!!!!!!!
108,0.53,-0.53,4,27.7,0.62,28.23,147,42.96,2187.0,28.53,14.43,Likely to fizzle,BarackObama,1207,490,WATCH: President Obama honors the 70th anniversary of VE Day in the weekly address: http://t.co/vMm2UxSIFt
109,0.53,-0.53,4,27.7,0.62,28.23,140,9.41,1496.0,19.9,10.49,Likely to fizzle,shakira,768,364,Check your watches - 12 days to go! #ShakiraCountdown. (Image by @7ClintChen7 - send yours for tomorrow.) ShakHQ http://
110,0.53,-0.53,4,27.7,0.62,28.23,140,9.41,1497.0,19.94,10.53,Likely to fizzle,shakira,231,633,"Obama duplica la inversión en subvenciones para la educación- Grant Pell 700,000 latinos mas podrán ir a la universidad "
111,0.53,-0.53,4,27.7,0.62,28.23,141,17.96,11321.0,64.78,46.82,Likely to fizzle,selenagomez,2317,4502,"Selena is @postcarding ""this is just embarrassing... Yes most of that is me"" http://t.co/9vphz1I5"
112,0.53,-0.53,4,27.7,0.62,28.23,140,9.41,1497.0,19.94,10.53,Likely to fizzle,shakira,781,358,We've loving Brooklyn Duo's piano / cello cover of #Empire! Great work guys. http://t.co/JkXDhAfaZR ShakHQ
113,0.54,0.54,4,27.7,0.603,27.16,141,17.96,822.0,9.55,8.41,Likely to fizzle,instagram,626,98,A crazy slackline moment captured #BoomerangOfTheWeek https://t.co/083ikudwMq
114,0.54,0.54,4,27.7,0.603,27.16,147,42.96,2126.0,27.81,15.15,Likely to fizzle,BarackObama,1020,553,Watch the weekly address: The President reiterates his plan to confront the threat posed by ISIL. http://t.co/FMqeVzVX7G
115,0.54,0.54,4,27.7,0.603,27.16,141,17.96,10996.0,64.27,46.31,Likely to fizzle,selenagomez,1558,4719,Just watched this trailer for the thousand time and cried... I can't wait http://t.co/TsSnkVsM
116,0.54,0.54,4,27.7,0.603,27.16,140,9.41,1454.0,19.26,9.85,Likely to fizzle,shakira,748,353,TONIGHT! @NBCTheVoice Top 8 at 7/8c. Let's all get behind #TeamShakira's @KristenMerlin ShakHQ http://t.co/EO1oqGA3NO
117,0.57,0.57,13,69.69,1.518,69.13,231,73.26,215268.0,99.11,25.85,Likely to fizzle,justinbieber,79054,68107,Our new album #PURPOSE is next Friday. That's all. Love you ;)  lol https://t.co/eTCmvYIEit
118,0.57,0.57,5,52.97,1.04,52.41,161,54.8,2503.0,31.7,23.1,Likely to fizzle,shakira,507,998,"Shakira ganó ayer tres premios @billboard latino: mejor artista femenina, artista del año (redes sociales) y solista ""La"
119,0.58,-0.58,14,71.59,1.644,72.17,226,71.92,23556.0,77.22,5.3,Likely to fizzle,katyperry,13320,5118,Operate in the light.
120,0.59,-0.59,4,27.7,0.621,28.29,140,9.41,1499.0,19.98,10.57,Likely to fizzle,shakira,691,404,Si no pudieron ver la actuación de anoche de Medicine con @blakeshelton en los @ACMawards aquí tienen el video http://t.
121,0.59,-0.59,4,27.7,0.621,28.29,140,9.41,1499.0,19.98,10.57,Likely to fizzle,shakira,867,316,One of the many magical myths of Colombia ;-)  https://t.co/N5PQ5gDeen
122,0.6,0.6,13,69.69,1.517,69.09,220,70.29,3385.0,39.45,30.84,Likely to fizzle,jimmyfallon,819,1283,.@kanyewest surprises Late Night and performs “Bound 2” w/@theroots and kills it. #LateNight #NBC
123,0.61,0.61,43,93.37,4.149,92.77,510,93.16,26532.0,79.47,13.69,Limited spread,rihanna,4560,10986,"""A system cannot fail those it was never built to protect"" #JudicialFail"
124,0.61,-0.61,24,83.33,2.41,83.93,302,83.5,18320.0,73.06,10.45,Likely to fizzle,KimKardashian,14666,1827,This 4 am feeding really kills me. I'm like delirious 🍼🍼🍼💤💤💤
125,0.61,0.61,6,56.14,1.108,55.53,167,56.74,1510.0,20.12,36.62,Likely to fizzle,YouTube,1080,215,What would happen if everyone’s search history was made public? Find out on #BadInternet. https://t.co/SPmA9ziQJj https:
126,0.61,0.61,5,52.97,1.039,52.37,151,50.7,6037.0,52.43,1.73,Likely to fizzle,TheEllenShow,3899,1069,You shined bright like a diamond. Unless you shone bright like a diamond. https://t.co/fg0C19jyjZ
127,0.61,0.61,4,27.7,0.602,27.09,141,17.96,820.0,9.5,8.46,Likely to fizzle,instagram,568,126,A crochet dog attempts a playful getaway #WHPescape https://t.co/sEQivH8264
128,0.61,0.61,4,27.7,0.602,27.09,148,47.22,1631.0,21.89,25.34,Likely to fizzle,jtimberlake,951,340,Ball's in your court Chi-Town #Illinois! 1st person to THIS vinyl gets 2 tickets to my last… http://t.co/tqP0ZtB1dV
129,0.61,0.61,4,27.7,0.602,27.09,143,27.37,632.0,7.36,20.01,Likely to fizzle,Twitter,136,248,The #Oscars are this Sunday night. Use #BestDressed to tell ABC's Red Carpet host @ninagarcia who you think looks best: 
130,0.61,0.61,4,27.7,0.602,27.09,143,27.37,632.0,7.36,20.01,Likely to fizzle,Twitter,118,257,The #SuperBowl is almost here! Here's tips for following the game on Twitter and how to vote for your favorite ads: http
131,0.61,0.61,4,27.7,0.602,27.09,141,17.96,821.0,9.52,8.44,Likely to fizzle,instagram,581,120,Featured submissions from this weekend’s hashtag project: #WHPfreetime https://t.co/QqcGg8VzAX https://t.co/phkQN6Zg4Q
